locale,code,name,descr
"ru","AD","Андорра","Андорра"
"ru","AE","ОАЭ","Объединенные Арабские Эмираты"
"ru","AF","Афганистан","Афганистан"
"ru","AG","Антигуа/Барбуда","Антигуа и Барбуда"
"ru","AI","Ангилья","Ангилья"
"ru","AL","Албания","Албания"
"ru","AM","Армения","Армения"
"ru","AO","Ангола","Ангола"
"ru","AQ","Антарктида","Антарктида"
"ru","AR","Аргентина","Аргентина"
"ru","AS","Самоа, Америка","Американское Самоа"
"ru","AT","Австрия","Австрия"
"ru","AU","Австралия","Австралия"
"ru","AW","Аруба","Аруба"
"ru","AX","Аландские острова","Аландские острова"
"ru","AZ","Азербайджан","Азербайджан"
"ru","BA","Босния-Герц.","Босния и Герцеговина"
"ru","BB","Барбадос","Барбадос"
"ru","BD","Бангладеш","Бангладеш"
"ru","BE","Бельгия","Бельгия"
"ru","BF","Буркина-Фасо","Буркина-Фасо"
"ru","BG","Болгария","Болгария"
"ru","BH","Бахрейн","Бахрейн"
"ru","BI","Бурунди","Бурунди"
"ru","BJ","Бенин","Бенин"
"ru","BL","С.-Бартелеми","Сен-Бартелеми"
"ru","BM","Бермуды","Бермуды"
"ru","BN","Бруней-Дарусс.","Бруней-Даруссалам"
"ru","BO","Боливия","Боливия"
"ru","BQ","Бонайре, Саба","Бонайре, Синт-Эстатиус и Саба"
"ru","BR","Бразилия","Бразилия"
"ru","BS","Багамские острова","Багамские острова"
"ru","BT","Бутан","Бутан"
"ru","BV","Остров Буве","Остров Буве"
"ru","BW","Ботсвана","Ботсвана"
"ru","BY","Беларусь","Беларусь"
"ru","BZ","Белиз","Белиз"
"ru","CA","Канада","Канада"
"ru","CC","Кокосовые острова","Кокосовые острова (Килинг)"
"ru","CD","ДР Конго","Демократическая Республика Конго"
"ru","CF","ЦАР","Центральная Африканская Республика"
"ru","CG","Респ. Конго","Республика Конго"
"ru","CH","Швейцария","Швейцария"
"ru","CI","Кот-д'Ивуар","Кот-д'Ивуар"
"ru","CK","Острова Кука","Острова Кука"
"ru","CL","Чили","Чили"
"ru","CM","Камерун","Камерун"
"ru","CN","Китай","Китай"
"ru","CO","Колумбия","Колумбия"
"ru","CR","Коста-Рика","Коста-Рика"
"ru","CV","Кабо-Верде","Кабо-Верде"
"ru","CW","Кюрасао","Кюрасао"
